"","Quercus_CA","Quercus_MX","Quercus_MX_stellatae","roburoids_albae","mac_bic","mac_bic_lob"
"refRAD.ref_longispica_raxml.bt001",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"refRAD.ref_longispica_raxml.bt002",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"refRAD.ref_longispica_raxml.bt003",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"refRAD.ref_longispica_raxml.bt004",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"refRAD.ref_longispica_raxml.bt005",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"refRAD.ref_longispica_raxml.bt006",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"refRAD.ref_longispica_raxml.bt007",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"refRAD.ref_longispica_raxml.bt008",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"refRAD.ref_longispica_raxml.bt009",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"refRAD.ref_longispica_raxml.bt010",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"refRAD.ref_longispica_raxml.bt011",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"refRAD.ref_longispica_raxml.bt012",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"refRAD.ref_longispica_raxml.bt013",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"refRAD.ref_longispica_raxml.bt014",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"refRAD.ref_longispica_raxml.bt015",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"refRAD.ref_longispica_raxml.bt016",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"refRAD.ref_longispica_raxml.bt017",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"refRAD.ref_longispica_raxml.bt018",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"refRAD.ref_longispica_raxml.bt019",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"refRAD.ref_longispica_raxml.bt020",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"refRAD.ref_longispica_raxml.bt021",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"refRAD.ref_longispica_raxml.bt022",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"refRAD.ref_longispica_raxml.bt023",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"refRAD.ref_longispica_raxml.bt024",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"refRAD.ref_longispica_raxml.bt025",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"refRAD.ref_longispica_raxml.bt026",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"refRAD.ref_longispica_raxml.bt027",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"refRAD.ref_longispica_raxml.bt028",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"refRAD.ref_longispica_raxml.bt029",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"refRAD.ref_longispica_raxml.bt030",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"refRAD.ref_longispica_raxml.bt031",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"refRAD.ref_longispica_raxml.bt032",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"refRAD.ref_longispica_raxml.bt033",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"refRAD.ref_longispica_raxml.bt034",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"refRAD.ref_longispica_raxml.bt035",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"refRAD.ref_longispica_raxml.bt036",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"refRAD.ref_longispica_raxml.bt037",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"refRAD.ref_longispica_raxml.bt038",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"refRAD.ref_longispica_raxml.bt039",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"refRAD.ref_longispica_raxml.bt040",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
"refRAD.ref_longispica_raxml.bt041",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"refRAD.ref_longispica_raxml.bt042",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"refRAD.ref_longispica_raxml.bt043",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"refRAD.ref_longispica_raxml.bt044",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"refRAD.ref_longispica_raxml.bt045",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"refRAD.ref_longispica_raxml.bt046",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"refRAD.ref_longispica_raxml.bt047",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"refRAD.ref_longispica_raxml.bt048",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"refRAD.ref_longispica_raxml.bt049",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"refRAD.ref_longispica_raxml.bt050",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"refRAD.ref_longispica_raxml.bt051",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"refRAD.ref_longispica_raxml.bt052",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
"refRAD.ref_longispica_raxml.bt053",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"refRAD.ref_longispica_raxml.bt054",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"refRAD.ref_longispica_raxml.bt055",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"refRAD.ref_longispica_raxml.bt056",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"refRAD.ref_longispica_raxml.bt057",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
